videos	yMA7y7rQoc0	20260118	4742	OK	Чего ждать от Мировой Экономики в 2026 году? | MACRO TALK
videos	BR7P80KqOTI	20251220	1568	OK	Как там живёшь, Брат? | Прогулка по Андорре перед Рождеством 2026
streams	0tjE0-RHx1U	20260605	6955	OK	ИИ-пузырю не хватает денег? | Инвест ГРОГ с Солодиным
streams	_jPimY9yjTE	20260522	8500	OK	SP500: Минимальные Дивиденды с 2000 года | Инвест ГРОГ с Солодиным
streams	CO4NeZDzXJ4	20260508	8560	OK	Последний Шанс предотвратить Мировой Кризис | Инвест ГРОГ с Солодиным
streams	JzWVQ6xwGPg	20260503	7615	OK	Следующие 6 месяцев будут сложными | Еженедельник Investor+
streams	qr9WFo0ltzw	20260424	6675	OK	ADBE, CRM, NOW: Насколько они могут пострадать от ИИ? | Инвест ГРОГ с Солодиным
streams	IRIyNw1xnnk	20260417	8370	OK	🔴 ИНФЛЯЦИЯ ВОЗВРАЩАЕТСЯ и рынку это не понравится | Инвест ГРОГ с Солодиным
streams	smTxiQXjqy0	20260403	7495	OK	🟢 КАК Заработать на ЭнергоКризисе в США? | Инвест ГРОГ с Солодиным
streams	xG7CBM6VlBA	20260327	8830	OK	SPX может отскочить на 6750 к лету | Инвест ГРОГ с Солодиным
streams	Dsdv4kvHbzU	20260321	7415	OK	Что ждать от SPX после "Тройного Колдовства"? | Еженедельник Investor+
streams	tnyoAXn1LO0	20260313	9455	OK	ШОК на рынке НЕФТИ всё ближе | Инвест ГРОГ с Солодиным
streams	ySQBaNEOFF8	20260306	9700	OK	Как Защитить свой Портфель во время Войны? | Инвест ГРОГ с Солодиным
streams	6BohlnV630I	20260301	3315	OK	Ближний Восток в огне! Что будет с нефтью? | Еженедельник Investor+
streams	16trobT1G8M	20260221	9428	OK	КАК Инвесторы применяют ОПЦИОНЫ? | ИнвестГРОГ с Солодиным
streams	IlPUBPEz0h8	20260213	8370	OK	Почему упали ИНФОТЕХИ и стоит ли их ПОКУПАТЬ? | Инвест ГРОГ с Солодиным
streams	jg2whQweQSE	20260208	7170	OK	Еженедельник Investor+ | 08 Февраля 2026
streams	6CJQxMsZPn8	20260130	8920	OK	АЗИЯ вырастет на 4,1% в 2026. Ищем ТОП-5 АКЦИЙ на ПОКУПКУ | Инвест ГРОГ с Солодиным
streams	WvE8rwgPmbw	20260123	8760	OK	ЛУЧШИЕ ИДЕИ на 2026 год | Инвест ГРОГ с Солодиным
streams	8V8V6Id2kOA	20260109	8640	OK	ИТОГОВЫЙ ИНВЕСТ ГРОГ 2025 ГОДА | Результаты, книги, конкурс
streams	41NSBqzcg3Y	20251212	8445	OK	Рекордный CASH у Профи и ПЛЕЧО у Толпы | Инвест ГРОГ с Солодиным
streams	XeCKNlVfPbo	20251205	9095	OK	⚡️ Как использовать РАЗРЫВ ЦЕН В ГАЗЕ? | ИнвестГРОГ с Солодиным
streams	W3K9TmheQH4	20251128	6990	OK	Рынок Жилья в США даёт Опережающие Сигналы | СОЛОДИН LIVE
streams	zUS05RsShCY	20251123	6020	OK	🟢 Как Долго может Падать S&P500 ? | Еженедельник Investor+
streams	Vqhri1ZQDRw	20251114	8675	OK	Как ГУРУ РЫНКА готовились к КРИЗИСУ? | Солодин LIVE
streams	X32uqBNttD4	20251031	6895	OK	Эти 4 компании уже тратят до 500 млрд$ в год на ИИ | ИнвестГРОГ с Солодиным
streams	9m3ZPiztu7E	20251024	3600	OK	Начались проблемы с ликвидностью? | Инвест ГРОГ
streams	XqSiosSfwQY	20251019	3955	OK	🟢 Кульминация в Золоте и Серебре | Еженедельник Investor+
streams	P5J-KFlLJ2U	20251003	7580	OK	Почему Фарма США растёт? | Инвест ГРОГ с Солодиным
streams	JQpcRO5xWoY	20250921	7165	OK	🟢 Серебро может удивить в ближайшие годы | Еженедельник Investor+
streams	zjyMtPAn2mg	20250912	7665	OK	🔴 S&P500 может уйти в сезонную коррекцию | Инвест ГРОГ с Солодиным
streams	evCmxnX1oWc	20250908	4860	OK	#макро Как опредилить пик рынка по МАКРО ПОКАЗАТЕЛЯМ? | Солодин LIVE
streams	elJ5Q2Rv62M	20250823	8150	OK	🟢 Рынок получил сигнал от ФРС | Еженедельник Investor+
streams	UFxZCiB0RAA	20250815	6640	OK	💰США могут получить +350 млрд$ от тарифов в 2025 году | Инвест ГРОГ с Солодиным
streams	ifl7bjnbEUE	20250808	7495	OK	🔴Мы это уже видели перед обвалом 2022 года | Инвест ГРОГ с Солодиным
streams	nnT185d22fc	20250801	7060	OK	🔴 Всё плохое обычно случается в АВГУСТЕ | Инвест ГРОГ с Солодиным
streams	OQmWfkPi5sU	20250718	8115	OK	Экономика РФ после войны || ИнвестГРОГ с Солодиным
streams	nswcGlSh4Gg	20250711	7850	OK	✈️СЕРЕБРО: Как заработать х10 на пирамидинге? | Инвест ГРОГ
streams	Xg5oh9FNTvU	20250704	8980	OK	Увеличиваю СТАВКУ на Золото и Серебро | Инвест ГРОГ с Солодиным
streams	xm4RUymUjMY	20250627	6200	OK	Когда SPX уже упадёт, Димон?! | Инвест ГРОГ с Солодиным
